"Variable","No support (Z=0)","Support (Z=1)","Difference","P-value"
"Prenatal visits (high)","0.405","0.463","0.058","$<$0.001"
"Age: 15--20","0.392","0.390","-0.002","0.121"
"Age: 21--25","0.419","0.422","0.002","0.106"
"Age: 26--30","0.083","0.084","0.000","0.600"
"Age: 31--40","0.106","0.105","-0.001","0.544"
"Education: Middle School","0.482","0.483","0.000","0.801"
"Education: High School","0.259","0.260","0.000","0.742"
"Education: College","0.148","0.147","-0.001","0.427"
"Education: Masters","0.110","0.110","0.000","0.970"
